store_risk_rank_desc,persistent_id_store,store_max_predicted_proba,store_predicted_positive_thr012,obs_month_start,obs_month,LOCATION_NAME,LATITUDE,LONGITUDE
7470,12241060,1.6695481e-05,0,2026-01-01,2026-01,Christopher Street Open Mic at St. John's Lutheran Church,40.733683,-74.003557
7471,8741098,1.6693986e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7425118,-73.8547287
7472,8754049,1.66894e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7604713,-73.9692535
7473,12995825,1.6667578e-05,0,2026-01-01,2026-01,Raizes Churrascaria,40.7249205,-73.9480835
7474,12991275,1.6666849e-05,0,2025-12-01,2025-12,Piazza Pizza & Grill,40.779166,-73.9542005
7475,8317600,1.666653e-05,0,2025-12-01,2025-12,Limited-Service Restaurants,40.5768395,-73.9840088
7476,13029612,1.665879e-05,0,2026-01-01,2026-01,Unique Eats,40.678167,-73.7760815
7477,13030163,1.6639071e-05,0,2026-01-01,2026-01,Vamos Al Tequila,40.730793,-73.957527
7478,8732594,1.6635453e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.7390099,-74.0033112
7479,12084170,1.6617743e-05,0,2026-01-01,2026-01,Srg 1 LLC,40.7558594,-73.9905701
7480,8756858,1.6614384e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.7300606,-74.0037231
7481,12090874,1.6611579e-05,0,2025-12-01,2025-12,"Pocha 32, INC",40.7474289,-73.9858017
7482,12089505,1.6604294e-05,0,2025-12-01,2025-12,"Romulus, INC",40.7505684,-73.9718475
7483,12086924,1.6599448e-05,0,2026-01-01,2026-01,Saroma CORP,40.7675781,-73.9529877
7484,13027466,1.6598942e-05,0,2026-01-01,2026-01,Tortas Neza,40.750267,-73.8596075
7485,8345438,1.6597754e-05,0,2025-12-01,2025-12,Limited-Service Restaurants,40.8723984,-73.8254623
7486,12999836,1.6595444e-05,0,2026-01-01,2026-01,Roti Modern Mediterranean,40.7067275,-74.0069525
7487,12939044,1.6586742e-05,0,2026-01-01,2026-01,El Rancho Deli Grocery,40.867354,-73.8964945
7488,8742452,1.6578913e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.7641487,-73.9882431
7489,12914759,1.6577174e-05,0,2025-12-01,2025-12,Benito One,40.7199795,-73.996884
7490,8752036,1.656826e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.6578293,-73.908493
7491,8742876,1.6557187e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7365418,-73.9945221
7492,8755181,1.6556225e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.8673515,-73.9207916
7493,12931148,1.6552814e-05,0,2025-12-01,2025-12,Crazy Meat,40.729816,-73.7799565
7494,12959224,1.6545271e-05,0,2025-12-01,2025-12,Joe's Pizza,40.609601,-73.95678
7495,12240975,1.6539165e-05,0,2025-12-01,2025-12,skys the lmit llc,40.5750805,-73.9665405
7496,8356002,1.6538314e-05,0,2026-01-01,2026-01,Limited-Service Restaurants,40.7750397,-73.9877319
7497,8738958,1.6537762e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.7200317,-73.9877167
7498,12971717,1.6534923e-05,0,2025-12-01,2025-12,Mad for Chicken,40.74217,-74.0011365
7499,12239673,1.6530887e-05,0,2026-01-01,2026-01,Corner Cafe and Bakery,40.783208,-73.957346
7500,12951541,1.6514217e-05,0,2026-01-01,2026-01,Happy Wok,40.830346,-73.8915785
7501,8745652,1.650691e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.7290993,-73.9810104
7502,8734650,1.650625e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.7034111,-74.0111237
7503,8738876,1.6494134e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.6487618,-73.8830109
7504,13005288,1.6493157e-05,0,2026-01-01,2026-01,Silver Star Roti Shop,40.675175,-73.8128855
7505,12969966,1.6491553e-05,0,2026-01-01,2026-01,Los Marinillos,40.7642665,-73.825479
